userId,date,time,amount,category,location,mode
user123,2025-03-27,21:16,835.8,Education,Delhi,UPI
user123,2025-03-04,21:58,1894.58,Transport,Bangalore,Card
user123,2025-03-11,03:41,4402.37,Electronics,Delhi,NetBanking
user123,2025-03-02,20:13,4818.63,Health,Mumbai,NetBanking
user123,2025-03-17,18:07,2600.2,Shopping,Delhi,NetBanking
user123,2025-03-14,19:54,2087.47,Shopping,Chennai,NetBanking
user123,2025-03-20,22:53,4348.2,Shopping,Bangalore,Cash
user123,2025-03-28,14:41,4096.13,Food,Kolkata,Cash
user123,2025-03-26,14:51,2738.94,Shopping,Pune,Cash
user123,2025-03-26,02:19,2929.17,Transport,Delhi,Cash
user123,2025-03-29,03:22,1786.54,Shopping,Hyderabad,UPI
user123,2025-03-20,16:20,4055.38,Entertainment,Chennai,Cash
user123,2025-03-29,02:35,3423.02,Shopping,Pune,Card
user123,2025-03-23,19:49,2750.1,Education,Pune,Card
user123,2025-03-09,22:49,2623.9,Health,Mumbai,NetBanking
user123,2025-03-09,11:13,4195.82,Shopping,Kolkata,UPI
user123,2025-03-23,19:14,4964.27,Education,Hyderabad,UPI
user123,2025-03-10,14:31,3924.17,Transport,Hyderabad,Cash
user123,2025-03-26,00:58,3956.56,Bills,Mumbai,NetBanking
user123,2025-03-18,09:09,1104.56,Shopping,Mumbai,NetBanking
user123,2025-03-19,10:35,2808.64,Entertainment,Bangalore,Card
user123,2025-03-09,18:03,1314.84,Food,Chennai,NetBanking
user123,2025-03-18,14:06,1198.78,Health,Hyderabad,Card
user123,2025-03-26,22:57,4161.33,Rent,Chennai,Cash
user123,2025-03-14,14:54,901.47,Education,Mumbai,UPI
user123,2025-03-09,06:39,1411.12,Bills,Pune,NetBanking
user123,2025-03-22,03:17,2058.86,Entertainment,Bangalore,Cash
user123,2025-03-20,06:04,3795.68,Transport,Delhi,NetBanking
user123,2025-03-23,02:45,3475.76,Food,Delhi,UPI
user123,2025-03-23,13:24,4394.8,Transport,Mumbai,Card
user123,2025-03-29,20:38,1484.74,Electronics,Mumbai,Card
